Account: Boston University
User: Sarah Healey
Generated On: 02/12/2026
For Time Period: January 1  2021 - December 31  2021
Filters: 
Streams: All
Groups: All
Ordered Route: All


"Serial","Description","Capacity","Stream Type","Reason","Fullness Level at Collection","Collection Time","Note"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/06/2021 07:34","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/06/2021 07:39","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart Max","Waste","Not Ready","0%","01/06/2021 07:39","-"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Smart Max","Waste","Fullness","80%","01/06/2021 09:54","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart Max","Waste","Fullness","60%","01/06/2021 10:01","-"
"1526511","595 Comm Ave Garage P1 East","Smart Max","Waste","Fullness","60%","01/06/2021 13:57","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart Max","Waste","Not Ready","0%","01/07/2021 09:59","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/07/2021 09:59","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/08/2021 07:30","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","40%","01/08/2021 07:30","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","60%","01/08/2021 07:39","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/08/2021 07:39","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/08/2021 07:45","-"
"1526463","718 Comm Ave","Smart Max","Waste","Fullness","60%","01/08/2021 09:55","-"
"1526509","595 Comm Ave Garage P1 West","Smart Max","Waste","Fullness","80%","01/08/2021 14:25","-"
"1526464","509 Park Dr @ Buswell","Smart","Single Stream","Not Ready","0%","01/08/2021 15:12","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Fullness","80%","01/08/2021 16:45","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","20%","01/08/2021 16:45","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/08/2021 16:50","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","0%","01/08/2021 16:50","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Fullness","80%","01/08/2021 16:54","-"
"1526380","675 Comm Ave","Smart Max","Waste","Fullness","60%","01/09/2021 06:47","-"
"1526459","610 Comm Ave","Smart Max","Waste","Fullness","60%","01/09/2021 06:52","-"
"1517448","610 Beacon St","Smart Max","Waste","Not Ready","20%","01/09/2021 06:58","-"
"1526382","100 Bay State Rd @ Deerfield St Entrance","Smart Max","Waste","Fullness","80%","01/09/2021 07:04","-"
"1526455","925 Comm Ave Aggnis Arena","Smart Max","Waste","Fullness","60%","01/09/2021 07:05","-"
"1526401","549 Comm Ave @ Deerfield","Smart Max","Waste","Fullness","60%","01/09/2021 07:06","-"
"1526505","Agganis Arena Garage Entrance - 925 Comm Ave (Outside)","Smart Max","Waste","Fullness","60%","01/09/2021 07:08","-"
"1526391","595 Comm ave Right Entrance","Smart Max","Waste","Not Ready","20%","01/09/2021 07:12","-"
"1526394","140  Bay State Rd","Smart Max","Waste","Fullness","100%","01/09/2021 07:16","-"
"1526477","100 Bay State Rd @ Bay State Road Entrance","Smart Max","Waste","Not Ready","20%","01/09/2021 07:17","-"
"1526458","44 Cummington Mall","Smart Max","Waste","Not Ready","20%","01/09/2021 13:27","-"
"1526379","700 Comm Ave Starbucks","Smart Max","Waste","Not Ready","20%","01/10/2021 07:05","-"
"1526397","575 Comm Ave","Smart Max","Waste","Not Ready","20%","01/10/2021 07:17","-"
"1526392","617 Comm Ave","Smart Max","Waste","Not Ready","0%","01/10/2021 07:19","-"
"1526402","635 Comm Ave","Smart Max","Waste","Not Ready","40%","01/10/2021 07:22","-"
"1526500","226 Bay State Rd","Smart Max","Waste","Not Ready","20%","01/10/2021 07:32","-"
"1526385","685 Comm Ave","Smart Max","Waste","Not Ready","20%","01/10/2021 07:38","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","40%","01/11/2021 07:11","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/11/2021 07:11","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","60%","01/11/2021 07:17","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/11/2021 07:17","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Fullness","100%","01/11/2021 07:38","-"
"1526501","275 Babcock St - Sleeper Hall","Smart Max","Waste","Fullness","60%","01/11/2021 08:53","-"
"1526513","Agganis Arena Garage P1 West","Smart Max","Waste","Fullness","60%","01/11/2021 13:59","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","20%","01/11/2021 14:32","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","40%","01/12/2021 07:16","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/12/2021 07:16","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/12/2021 07:19","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","60%","01/12/2021 07:19","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/12/2021 07:22","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","20%","01/13/2021 07:16","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/13/2021 07:16","-"
"1526468","Babcock St & Ashford St - Pedestrian Garage Entrance","Smart Max","Waste","Fullness","60%","01/13/2021 07:17","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","40%","01/13/2021 07:20","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/13/2021 07:20","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/13/2021 07:26","-"
"1526463","718 Comm Ave","Smart Max","Waste","Fullness","60%","01/13/2021 10:01","-"
"1526383","700 Comm Ave Subway","Smart Max","Waste","Fullness","60%","01/13/2021 10:05","-"
"1513539","275 Babcock – main entrance","Smart Max","Waste","Fullness","60%","01/13/2021 11:14","-"
"1526510","Agganis Arena Garage P1 East","Smart Max","Waste","Fullness","60%","01/13/2021 14:10","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/14/2021 07:17","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","20%","01/14/2021 07:17","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/14/2021 07:19","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","40%","01/14/2021 07:19","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/14/2021 07:25","-"
"1526475","277 Babcock St @ City Convenience","Smart","Single Stream","Not Ready","20%","01/14/2021 08:13","-"
"1526468","Babcock St & Ashford St - Pedestrian Garage Entrance","Smart","Single Stream","Fullness","100%","01/14/2021 09:52","-"
"1526464","509 Park Dr @ Buswell","Smart","Single Stream","Not Ready","20%","01/14/2021 13:28","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","20%","01/15/2021 07:10","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/15/2021 07:10","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","40%","01/15/2021 07:19","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/15/2021 07:19","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","40%","01/15/2021 07:22","-"
"1526504","10 Buick St Access From 915 Comm Ave w/ recy 9521123","Smart","Single Stream","Not Ready","20%","01/15/2021 09:13","-"
"1526504","10 Buick St Access From 915 Comm Ave w/ recy 9521123","Smart Max","Waste","Not Ready","20%","01/15/2021 09:13","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/15/2021 15:59","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","0%","01/15/2021 15:59","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","0%","01/15/2021 16:18","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/15/2021 16:18","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","0%","01/15/2021 16:27","-"
"1526483","34 Buswell St","Smart Max","Waste","Fullness","80%","01/16/2021 06:29","-"
"1526463","718 Comm Ave","Smart Max","Waste","Not Ready","20%","01/16/2021 07:44","-"
"1517448","610 Beacon St","Smart Max","Waste","Not Ready","20%","01/16/2021 07:49","-"
